[W1017 23:07:49.379333385 NNPACK.cpp:61] Could not initialize NNPACK! Reason: Unsupported hardware.
Training standard bot...
Generation 1/1000, Best Fitness: -0.9699
Generation 2/1000, Best Fitness: -0.9656
Generation 3/1000, Best Fitness: -0.9656
Generation 4/1000, Best Fitness: -0.9656
Generation 5/1000, Best Fitness: -0.9656
Generation 6/1000, Best Fitness: -0.9656
Generation 7/1000, Best Fitness: -0.9656
Generation 8/1000, Best Fitness: -0.9656
Generation 9/1000, Best Fitness: -0.9656
Generation 10/1000, Best Fitness: -0.9656
Generation 11/1000, Best Fitness: -0.9656
Generation 12/1000, Best Fitness: -0.9656
Generation 13/1000, Best Fitness: -0.9656
Generation 14/1000, Best Fitness: -0.9656
Generation 15/1000, Best Fitness: -0.9656
Generation 16/1000, Best Fitness: -0.9656
Generation 17/1000, Best Fitness: -0.9656
Generation 18/1000, Best Fitness: -0.9656
Generation 19/1000, Best Fitness: -0.9656
Generation 20/1000, Best Fitness: -0.9656
Generation 21/1000, Best Fitness: -0.9656
Generation 22/1000, Best Fitness: -0.9656
Generation 23/1000, Best Fitness: -0.9656
Generation 24/1000, Best Fitness: -0.9656
Generation 25/1000, Best Fitness: -0.9656
Generation 26/1000, Best Fitness: -0.9656
Generation 27/1000, Best Fitness: -0.9656
Generation 28/1000, Best Fitness: -0.9656
Generation 29/1000, Best Fitness: -0.9656
Generation 30/1000, Best Fitness: -0.9656
Generation 31/1000, Best Fitness: -0.9656
Generation 32/1000, Best Fitness: -0.9656
Generation 33/1000, Best Fitness: -0.9656
Generation 34/1000, Best Fitness: -0.9656
Generation 35/1000, Best Fitness: -0.9656
Generation 36/1000, Best Fitness: -0.9656
Generation 37/1000, Best Fitness: -0.9656
Generation 38/1000, Best Fitness: -0.9656
Generation 39/1000, Best Fitness: -0.9656
Generation 40/1000, Best Fitness: -0.9656
Generation 41/1000, Best Fitness: -0.9656
Generation 42/1000, Best Fitness: -0.9656
Generation 43/1000, Best Fitness: -0.9656
Generation 44/1000, Best Fitness: -0.9656
Generation 45/1000, Best Fitness: -0.9656
Generation 46/1000, Best Fitness: -0.9656
Generation 47/1000, Best Fitness: -0.9656
Generation 48/1000, Best Fitness: -0.9656
Generation 49/1000, Best Fitness: -0.9656
Generation 50/1000, Best Fitness: -0.9656
Generation 51/1000, Best Fitness: -0.9656
Generation 52/1000, Best Fitness: -0.9656
Generation 53/1000, Best Fitness: -0.9656
Generation 54/1000, Best Fitness: -0.9656
Generation 55/1000, Best Fitness: -0.9656
Generation 56/1000, Best Fitness: -0.9656
Generation 57/1000, Best Fitness: -0.9656
Generation 58/1000, Best Fitness: -0.9656
Generation 59/1000, Best Fitness: -0.9656
Generation 60/1000, Best Fitness: -0.9656
Generation 61/1000, Best Fitness: -0.9656
Generation 62/1000, Best Fitness: -0.9656
Generation 63/1000, Best Fitness: -0.9656
Generation 64/1000, Best Fitness: -0.9656
Generation 65/1000, Best Fitness: -0.9656
Generation 66/1000, Best Fitness: -0.9656
Generation 67/1000, Best Fitness: -0.9656
Generation 68/1000, Best Fitness: -0.9656
Generation 69/1000, Best Fitness: -0.9656
Generation 70/1000, Best Fitness: -0.9656
Generation 71/1000, Best Fitness: -0.9656
Generation 72/1000, Best Fitness: -0.9656
Generation 73/1000, Best Fitness: -0.9656
Generation 74/1000, Best Fitness: -0.9656
Generation 75/1000, Best Fitness: -0.9656
Generation 76/1000, Best Fitness: -0.9656
